Algo,Vers,Args,Dataset,Seed,Score,Train,Test,Dur,Model
memetico,32dc3f2ce2f1-int,args__-d_0.00001-dd_adp-rnd-dc_5-dm_stale-ext-g_1000-f_10-ld_0.2-ls_cnm-mr_0.2-mt_900-o_pcor,pbf-ad-men-tr-wa_h,102684315,pcor,0.146588640931985204,0.146588640931985204,902.326000000000022,(-19)+(3*B2+7)/(()+(-22*B2)/((-15)+(6)/((12)+(9)/((-7)+(9)/((4*B2))))))
memetico,32dc3f2ce2f1-int,args__-d_0.00001-dd_adp-rnd-dc_5-dm_stale-ext-g_1000-f_10-ld_0.2-ls_cnm-mr_0.2-mt_900-o_pcor,pbf-ad-men-tr-wa_h,179016853,pcor,0.146520513385887785,0.146520513385887785,902.373000000000047,()+(-16)/((38*B2)+(3*B2+1)/((22*B2-7)+()/((17*B2)+(13*B2+1)/((-6*B2)))))
memetico,32dc3f2ce2f1-int,args__-d_0.00001-dd_adp-rnd-dc_5-dm_stale-ext-g_1000-f_10-ld_0.2-ls_cnm-mr_0.2-mt_900-o_pcor,pbf-ad-men-tr-wa_h,529815240,pcor,0.146433092387315611,0.146433092387315611,903.413999999999987,(-4)+(-9)/(()+(4*B2)/((50)+(-3)/((12*B2-4))))
memetico,32dc3f2ce2f1-int,args__-d_0.00001-dd_adp-rnd-dc_5-dm_stale-ext-g_1000-f_10-ld_0.2-ls_cnm-mr_0.2-mt_900-o_pcor,pbf-ad-men-tr-wa_h,164821849,pcor,0.14673403915786265,0.14673403915786265,907.918999999999983,(35)+(6)/((25*B2)+(3*B2-3)/((-4*B2-28)+(3)/(()+(4)/((26)+(-5*B2+10)/((B2)+(3)/((8)+()/((-20*B2-2)+(-6*B2-15)/(()+(-22*B2)/(())))))))))
memetico,32dc3f2ce2f1-int,args__-d_0.00001-dd_adp-rnd-dc_5-dm_stale-ext-g_1000-f_10-ld_0.2-ls_cnm-mr_0.2-mt_900-o_pcor,pbf-ad-men-tr-wa_h,656287983,pcor,0.146468527097448953,0.146468527097448953,902.461999999999989,(29*B2)+(26*B2+10)/((B2+1)+(-12*B2)/((-8*B2+6)+(5*B2)/((-17*B2+5)+()/(()+(27*B2)/((11*B2)+()/((-14*B2+9)))))))
memetico,32dc3f2ce2f1-int,args__-d_0.00001-dd_adp-rnd-dc_5-dm_stale-ext-g_1000-f_10-ld_0.2-ls_cnm-mr_0.2-mt_900-o_pcor,pbf-ad-men-tr-wa_h,94074362,pcor,0.146621107583750132,0.146621107583750132,908.519000000000005,(-5*B2+1)+(7)/(()+(-9*B2)/((12)+(-2)/((13*B2-2)+(1)/((1)+(-21*B2-7)/((14*B2)+(1)/(()+(-10*B2)/(()+(22*B2-24)/((1)))))))))
memetico,32dc3f2ce2f1-int,args__-d_0.00001-dd_adp-rnd-dc_5-dm_stale-ext-g_1000-f_10-ld_0.2-ls_cnm-mr_0.2-mt_900-o_pcor,pbf-ad-men-tr-wa_h,580714592,pcor,0.146486769330045008,0.146486769330045008,903.166000000000054,(-19*B2-14)+(-58*B2-54)/((-12*B2+5)+(11)/((-12*B2)+(-24*B2+8)/((8*B2))))
memetico,32dc3f2ce2f1-int,args__-d_0.00001-dd_adp-rnd-dc_5-dm_stale-ext-g_1000-f_10-ld_0.2-ls_cnm-mr_0.2-mt_900-o_pcor,pbf-ad-men-tr-wa_h,420875574,pcor,0.146590598141883022,0.146590598141883022,905.537000000000035,(1)+(1)/((1)+(1)/((20*B2)+(1)/((-8)+(-9*B2)/((-20*B2)+(-7)/((-2)+(-2*B2)/((1)+(-26*B2)/((15*B2)+(3*B2)/((-4*B2)+(15*B2)/(()+()/((-27*B2)))))))))))
memetico,32dc3f2ce2f1-int,args__-d_0.00001-dd_adp-rnd-dc_5-dm_stale-ext-g_1000-f_10-ld_0.2-ls_cnm-mr_0.2-mt_900-o_pcor,pbf-ad-men-tr-wa_h,200193720,pcor,0.146480043226465795,0.146480043226465795,908.434999999999945,()+(23*B2)/((-17)+(21*B2)/(()+(1)/(()+(-15*B2)/((-8)+(29*B2)/(()+(20*B2-5)/((9*B2)+(26*B2)/((-16*B2))))))))
memetico,32dc3f2ce2f1-int,args__-d_0.00001-dd_adp-rnd-dc_5-dm_stale-ext-g_1000-f_10-ld_0.2-ls_cnm-mr_0.2-mt_900-o_pcor,pbf-ad-men-tr-wa_h,460406752,pcor,0.146777558322991886,0.146777558322991886,906.777000000000044,(-9*B2)+(-12*B2+27)/((-4*B2+1)+(-9*B2+14)/((-6*B2)))
memetico,32dc3f2ce2f1-int,args__-d_0.00001-dd_adp-rnd-dc_5-dm_stale-ext-g_1000-f_10-ld_0.2-ls_cnm-mr_0.2-mt_900-o_pcor,pbf-ad-men-tr-wa_h,982897,pcor,0.146480234149521937,0.146480234149521937,911.755999999999972,(337)+(8)/((-769*B2+115)+(-266*B2+826)/((-194*B2)+(147)/((3)+(-280*B2)/((191)))))
memetico,32dc3f2ce2f1-int,args__-d_0.00001-dd_adp-rnd-dc_5-dm_stale-ext-g_1000-f_10-ld_0.2-ls_cnm-mr_0.2-mt_900-o_pcor,pbf-ad-men-tr-wa_h,762838704,pcor,0.146745227946324941,0.146745227946324941,902.791000000000054,(8)+(-7*B2-4)/((4)+(-13*B2)/((7*B2-1)+(3)/((3*B2+2)+(-7*B2+35)/((-22*B2+9)+(2*B2)/(()+(-5*B2+1)/((28*B2)))))))
